{17180205909, 324}
{17180181951, 211}
{17180204243, 204}
{8590329246, 204}
{17180204244, 214}
{17180181952, 210}
{8590329247, 205}
{8590329248, 206}
{17180181953, 206}
{17180204245, 220}
{51539744540, 301}
{17180182683, 247}
{8590329249, 208}
{17180204246, 223}
{17180205020, 346}
{17180182684, 245}
{51539744541, 299}
{17180204247, 218}
{17180204409, 226}
{51539744542, 296}
{17180205021, 360}
{42949884472, 256}
{17180182685, 246}
{51539744543, 262}
{42949925080, 287}
{17180205022, 380}
{17180252129, 201}
{51540002210, 281}
{17180182686, 246}
{34359862879, 208}
{42949884473, 249}
{17180182687, 245}
{17180205023, 389}
{51539744544, 251}
{51540002211, 282}
{42949925081, 284}
{42949925082, 282}
{17179872095, 245}
{17180205024, 402}
{17180182688, 241}
{51539744545, 239}
{51540002212, 281}
{17179872096, 243}
{51539744546, 211}
{17180205025, 418}
{51540002213, 281}
{25770238870, 232}
{17180182689, 216}
{42949925083, 281}
{17179872097, 237}
{42949925084, 280}
{51540002214, 276}
{51539744547, 202}
{17180205026, 428}
{17180205027, 433}
{25770238872, 206}
{42949925085, 283}
{17179872098, 237}
{51540002215, 274}
{51540002216, 271}
{42949925086, 288}
{17180205028, 444}
{51540002217, 260}
{25769966360, 233}
{42949925087, 297}
{17180205029, 458}
{42949925088, 297}
{25769966361, 230}
{42949924854, 263}
{51540002218, 250}
{42949925089, 301}
{42949924855, 271}
{51540002219, 243}
{25769966362, 228}
{25770098142, 201}
{25770238920, 316}
{17180205860, 225}
{60129591195, 226}
{25769966363, 220}
{25770238921, 312}
{25770098143, 204}
{25770238877, 294}
{42949924856, 297}
{25770238878, 288}
{25770238922, 310}
{17180205861, 226}
{25770098144, 205}
{17180205410, 476}
{25769966364, 216}
{17180036120, 486}
{42949924857, 303}
{60129591196, 212}
{25770238923, 301}
{17180205862, 230}
{60129591197, 212}
{25770238879, 286}
{34359862817, 235}
{25769966365, 213}
{17180036121, 500}
{42949924858, 316}
{17180205411, 504}
{25769966366, 211}
{34359862818, 287}
{42949924859, 317}
{17180205863, 229}
{17180036122, 505}
{25769813617, 255}
{25769863450, 229}
{17180205412, 520}
{17180205413, 540}
{17180036123, 508}
{25769863451, 229}
{25769863000, 257}
{25769966367, 208}
{17180205864, 227}
{34359862819, 289}
{25769813618, 237}
{25769863452, 225}
{25769863001, 260}
{17180205414, 551}
{17180036124, 519}
{25769966250, 288}
{17180205865, 229}
{25769813619, 226}
{25769966368, 202}
{25769966251, 288}
{17180205910, 321}
{17180205866, 230}
{17180036125, 524}
{17180205415, 558}
{25769863002, 265}
{51539960891, 202}
{17180205416, 570}
{25769966252, 288}
{25769863003, 268}
{17180036126, 530}
{17180205867, 228}
{17180205911, 319}
{51539960892, 207}
{17180036127, 551}
{25769966253, 298}
{51539960893, 203}
{17180205868, 232}
{17180205912, 319}
{17180205417, 573}
{25769863004, 271}
{17180205418, 578}
{8590329250, 209}
{17180205869, 235}
{17180205913, 318}
{25769966254, 305}
{25769863005, 271}
{17180036128, 614}
{25769863006, 273}
{25769966255, 315}
{17180036129, 601}
{17180205914, 320}
{8590329251, 209}
{17180205419, 580}
{17180204410, 227}
{17180204411, 230}
{25769966300, 513}
{8590329252, 210}
{25769966256, 321}
{17180205915, 318}
{25769863007, 272}
{17180204412, 227}
{34359862880, 208}
{17180205916, 315}
{25769966257, 328}
{25769863008, 271}
{25769966301, 513}
{34359862881, 222}
{25769966258, 348}
{17180204413, 223}
{25769863009, 269}
{25769966302, 510}
{17180205917, 317}
{17180252131, 211}
{25769966303, 508}
{17180252132, 217}
{34359862882, 263}
{42949884305, 207}
{17180205800, 474}
{25769966259, 357}
{17180205918, 313}
{17180204414, 215}
{42949884306, 212}
{25769966304, 507}
{17180205801, 482}
{17180252133, 227}
