{17179899850, 140}
{42949686158, 124}
{60129838263, 106}
{17180168907, 109}
{25770129319, 142}
{17180205455, 158}
{51539741195, 127}
{51539741852, 159}
{51539871542, 109}
{42949981574, 176}
{17180202944, 109}
{60129793597, 193}
{51539700767, 163}
{379148, 126}
{42949823650, 102}
{60129557427, 111}
{51539988156, 132}
{51539980901, 103}
{25769966291, 514}
{8590366917, 133}
{25769964671, 138}
{34360024471, 304}
{8590382298, 188}
{42949925062, 133}
{60129884523, 106}
{17180137505, 103}
{51539973116, 122}
{51540021516, 113}
{60129740973, 114}
{42949884293, 131}
{376475, 120}
{25770062043, 111}
{42949884455, 130}
{60129883588, 120}
{389895, 109}
{51539997723, 126}
{51540005154, 103}
{318181, 293}
{51539744525, 212}
{17180134832, 106}
{42949757889, 103}
{34360126658, 325}
{34360002259, 102}
{51539705104, 111}
{34360124263, 149}
{51539953190, 145}
{34360126659, 310}
{51539997724, 126}
{17180168908, 123}
{42949823651, 105}
{25770062044, 111}
{25769947743, 124}
{379149, 130}
{17180205456, 154}
{60129883589, 120}
{60129564600, 115}
{51539700650, 110}
{60129884524, 104}
{51539953191, 142}
{42950105430, 110}
{8590382299, 188}
{34360024472, 206}
{17179899851, 140}
{25769964672, 138}
{42949884294, 140}
{51539744526, 218}
{60129740974, 116}
{42949884456, 115}
{51539741853, 158}
{51539754660, 153}
{51539988157, 142}
{42949981575, 172}
{389896, 116}
{25769966292, 514}
{8590274370, 108}
{8590366918, 123}
{42949925063, 143}
{42949982510, 114}
{51539700768, 144}
{51539705105, 113}
{34360124264, 146}
{17180202945, 109}
{51540021517, 118}
{51539741196, 137}
{17180137506, 103}
{318182, 298}
{60129606829, 103}
{17179949530, 153}
{60129838264, 105}
{60129885910, 120}
{17180134833, 107}
{51539871543, 110}
{51539756280, 116}
{60129557428, 111}
{51539700769, 135}
{25769966293, 516}
{34359868875, 108}
{51539988158, 144}
{51539741854, 157}
{389897, 118}
{17180134834, 104}
{17180205457, 148}
{25770062045, 110}
{42949884295, 137}
{51539741197, 136}
{42949925064, 156}
{51539973118, 102}
{60129838265, 103}
{60129740975, 124}
{8590366919, 117}
{17179949531, 138}
{34360124265, 132}
{17180168909, 123}
{17180137507, 104}
{17179899852, 140}
{60129564601, 115}
{51539756281, 117}
{17180205790, 324}
{51539744527, 226}
{25770173024, 184}
{42949884457, 111}
{60129567068, 137}
{51539754661, 159}
{318183, 297}
{60129720760, 130}
{42949982511, 115}
{42949823652, 118}
{51540021518, 119}
{17180202946, 110}
{51539705106, 113}
{51539700651, 114}
{25769947744, 123}
{60129885911, 118}
{42949981576, 163}
{51539997725, 122}
{51539871544, 113}
{25769964673, 138}
{42950105431, 132}
{51539741198, 140}
{327300, 102}
{25769964674, 138}
{42949934470, 135}
{25770062046, 110}
{51539756282, 114}
{51539718860, 113}
{17180137508, 103}
{402540, 171}
{51539871545, 114}
{17180316770, 101}
{25770173025, 178}
{42949925065, 175}
{51539988159, 146}
{17180251556, 117}
{60129880629, 109}
{42950105432, 142}
{318184, 302}
{17179899853, 140}
{51539741855, 156}
{389898, 125}
{51539987925, 102}
{42949981577, 164}
{60129574692, 109}
{42949884296, 138}
{42949837469, 101}
{51539700652, 109}
{60129885912, 118}
{34359899214, 106}
{17179949532, 136}
{17180162005, 133}
{51539744528, 230}
{34360058431, 104}
{17180202947, 110}
{60129740976, 125}
{17180205458, 145}
{25770239130, 305}
{376478, 104}
{25770129493, 108}
{42949982512, 110}
{51539754662, 160}
{60129720761, 131}
{60129564602, 111}
{51539654870, 152}
{51539996178, 103}
{25769966294, 518}
{51539997726, 120}
{34359868876, 107}
{51539705107, 109}
{51539973119, 113}
{60129838266, 103}
{25769947745, 123}
{51540021519, 126}
{42949823653, 126}
{17180204611, 101}
{17180205791, 335}
{60129567069, 122}
{42950105433, 173}
{42949981578, 157}
{25770062047, 111}
{34360058432, 109}
{25770239131, 338}
{25769947746, 122}
{51539718861, 102}
{60129574693, 104}
{147932, 122}
{42949934471, 109}
{60129885913, 118}
{17180205459, 139}
{17180137509, 107}
{423980, 133}
{17180204612, 106}
{42949925110, 244}
{17180205792, 350}
{51539741900, 230}
{318185, 299}
{51539654871, 153}
{51539705108, 109}
{51539997727, 113}
{42949884297, 155}
{42949823654, 126}
{60129720762, 130}
{42949758710, 143}
{51539700653, 104}
{17180202948, 110}
{60129838267, 101}
{17180251557, 123}
{17180136951, 104}
{51539744529, 236}
{17179899854, 139}
{389899, 134}
{25769966295, 517}
{51539741199, 122}
{34360124267, 189}
{51539803000, 104}
{34359899215, 116}
{402541, 165}
{60129740977, 130}
{60129564603, 102}
{25769964675, 138}
{51539987926, 120}
{51539754663, 160}
{51539996179, 103}
{17180316771, 101}
{51539871546, 114}
{17179949533, 135}
{25770129494, 114}
{42949982513, 109}
{17180162006, 131}
{51539741856, 155}
{42949925066, 188}
{421091, 124}
{51539997728, 112}
{17180202949, 113}
{51539654872, 153}
{42949981579, 127}
{51539987927, 117}
{318186, 296}
{25769964676, 138}
{60129885914, 118}
{51539871547, 113}
{51539803001, 104}
{42949982514, 102}
{8590385191, 116}
{25769966296, 516}
{60129740978, 145}
{51539712570, 101}
{42949925111, 251}
{51539997610, 112}
{51539705109, 124}
{42949925067, 213}
{34360058433, 107}
{25769947747, 122}
{51539741901, 229}
{17180205793, 360}
{25769966340, 251}
{42949884298, 157}
{34360124268, 135}
{402542, 157}
{34359899216, 121}
{42949823655, 127}
{17180136952, 121}
{25770062048, 106}
{60129720763, 130}
{17180251558, 124}
{17179949534, 134}
{60129574694, 104}
{60129711240, 144}
{51539645016, 113}
{25770129495, 114}
{147933, 124}
{17180204613, 110}
{51539741857, 155}
{42949758711, 143}
{423981, 126}
{51539741902, 225}
{402543, 146}
{25770129496, 114}
{17180204614, 119}
{423982, 125}
{51539871548, 115}
{42949884299, 163}
{60129574695, 103}
{51539988044, 106}
{51539741858, 156}
{51539987928, 120}
{42949758712, 140}
{34360005810, 110}
{51539997611, 111}
{8590385192, 116}
{421092, 154}
{51539645017, 110}
{318187, 296}
{25770239133, 245}
{42949925068, 244}
{8590117180, 112}
{60129711241, 105}
{51539654873, 153}
{25769947748, 119}
{17180136953, 120}
{42949838740, 131}
{25769966297, 517}
{51540016842, 130}
{25769966341, 250}
{17180251559, 128}
{42949925112, 254}
{17180205794, 371}
{42949823656, 125}
{51539803002, 105}
{147934, 127}
{25769964677, 138}
{60129720764, 128}
{60129740979, 147}
{60129885915, 117}
{25770062049, 105}
{17179949535, 131}
{51539997612, 109}
{42949823657, 125}
{147935, 131}
{60129720765, 127}
{25770129497, 104}
{17180204615, 124}
{51539741859, 156}
{42949758713, 138}
{34360125700, 106}
{402544, 124}
{60129574740, 116}
{25769964678, 138}
{51539987929, 124}
{60129574696, 103}
{318188, 295}
{51539988045, 125}
{42949940260, 134}
{25769966342, 249}
{423983, 123}
{42949982192, 147}
{17179879598, 105}
{17179899857, 139}
{34360005811, 108}
{51539654874, 153}
{51540016843, 142}
{42949925113, 243}
{25770239134, 255}
{51539621690, 124}
{17180205795, 377}
{25769966298, 517}
{8590385193, 110}
{51539872160, 157}
{51539871549, 119}
{25770238900, 299}
{42949925069, 265}
{51539741903, 220}
{25769947749, 124}
{42949838741, 133}
{51539645018, 111}
{17179949536, 128}
{34360058435, 102}
{17180136954, 116}
{8590117181, 110}
